"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-21T08:00:00.000Z","211.22","211.88","211.22","211.52","0.1515","0.1511","1,753"
"2025-07-21T08:01:00.000Z","211.65","211.66","211.60","211.64","0.0567","0.0564","458"
"2025-07-21T08:02:00.000Z","211.65","211.65","211.52","211.52","-0.0567","-0.0571","400"
"2025-07-21T08:03:00.000Z","211.60","211.80","211.60","211.80","0.1324","0.1320","300"
"2025-07-21T08:05:00.000Z","211.82","211.82","211.79","211.79","-0.0047","-0.0051","487"
"2025-07-21T08:06:00.000Z","211.78","211.78","211.77","211.77","-0.0094","-0.0098","321"
"2025-07-21T08:07:00.000Z","211.76","211.81","211.76","211.81","0.0189","0.0185","385"
"2025-07-21T08:08:00.000Z","211.80","211.81","211.80","211.81","","-0.0004","335"
"2025-07-21T08:09:00.000Z","211.82","211.82","211.76","211.76","-0.0236","-0.0240","314"
"2025-07-21T08:10:00.000Z","211.80","211.81","211.80","211.81","0.0236","0.0232","200"
"2025-07-21T08:11:00.000Z","211.85","211.85","211.85","211.85","0.0189","0.0185","392"
"2025-07-21T08:13:00.000Z","211.80","211.80","211.80","211.80","-0.0236","-0.0240","100"
"2025-07-21T08:14:00.000Z","211.80","211.80","211.80","211.80","","-0.0004","100"
"2025-07-21T08:15:00.000Z","211.80","211.80","211.72","211.72","-0.0378","-0.0381","240"
"2025-07-21T08:20:00.000Z","211.72","211.72","211.70","211.70","-0.0094","-0.0098","502"
"2025-07-21T08:21:00.000Z","211.72","211.72","211.72","211.72","0.0094","0.0091","296"
"2025-07-21T08:22:00.000Z","211.76","211.76","211.76","211.76","0.0189","0.0185","100"
"2025-07-21T08:23:00.000Z","211.72","211.72","211.72","211.72","-0.0189","-0.0193","161"
"2025-07-21T08:34:00.000Z","211.71","211.71","211.71","211.71","-0.0047","-0.0051","100"
"2025-07-21T08:37:00.000Z","211.71","211.72","211.67","211.67","-0.0189","-0.0193","1,917"
"2025-07-21T08:39:00.000Z","211.67","211.75","211.67","211.75","0.0378","0.0374","200"
"2025-07-21T08:45:00.000Z","211.73","211.73","211.73","211.73","-0.0094","-0.0098","240"
"2025-07-21T08:47:00.000Z","211.74","211.76","211.74","211.76","0.0142","0.0138","601"
"2025-07-21T08:56:00.000Z","211.77","211.77","211.77","211.77","0.0047","0.0044","200"
"2025-07-21T09:02:00.000Z","211.78","211.78","211.78","211.78","0.0047","0.0044","100"
"2025-07-21T09:04:00.000Z","211.82","211.82","211.82","211.82","0.0189","0.0185","127"
"2025-07-21T09:05:00.000Z","211.84","211.84","211.84","211.84","0.0094","0.0091","113"
"2025-07-21T09:10:00.000Z","211.86","211.86","211.85","211.85","0.0047","0.0043","360"
"2025-07-21T09:11:00.000Z","211.86","211.86","211.86","211.86","0.0047","0.0043","316"
"2025-07-21T09:13:00.000Z","211.86","211.86","211.86","211.86","","-0.0004","166"
"2025-07-21T09:14:00.000Z","211.86","211.86","211.86","211.86","","-0.0004","133"
"2025-07-21T09:15:00.000Z","211.87","211.87","211.87","211.87","0.0047","0.0043","149"
"2025-07-21T09:16:00.000Z","211.88","211.88","211.88","211.88","0.0047","0.0043","100"
"2025-07-21T09:18:00.000Z","211.85","211.85","211.85","211.85","-0.0142","-0.0145","1,586"
"2025-07-21T09:20:00.000Z","211.90","211.90","211.90","211.90","0.0236","0.0232","340"
"2025-07-21T09:21:00.000Z","211.89","211.89","211.88","211.88","-0.0094","-0.0098","500"
"2025-07-21T09:22:00.000Z","211.85","211.85","211.85","211.85","-0.0142","-0.0145","189"
"2025-07-21T09:30:00.000Z","211.88","211.89","211.88","211.89","0.0189","0.0185","230"
